Generation,Best,Mean
0,1363,116.81
1,1245,132.63
2,1359,269.14
3,1244,367.57
4,1408,618.67
5,1342,914.27
6,1335,961.52
7,1370,1032.66
8,1457,994.34
9,1588,1033.18
10,1683,1180.37
11,1715,1199.17
12,1703,1160.56
13,1633,1173.6
14,1636,1135.56
15,1700,1149.16
16,1786,1212.38
17,1786,1165.87
18,1699,1236.81
19,1764,1358.29
20,1808,1364.02
21,1744,1430.5
22,1749,1192.34
23,1736,1266.21
24,1786,1209.8
25,1784,1294.11
26,1867,1365.28
27,1835,1364.58
28,1877,1273.68
29,1877,1386.41
30,1842,1461.47
31,1905,1428.28
32,1905,1253.5
33,1905,1260.16
34,1884,1350.55
35,1884,1321.31
36,1911,1402.77
37,1911,1286.92
38,1879,1358.19
39,1920,1467.65
40,1920,1523.41
41,1920,1304.01
42,1921,1428.72
43,1920,1436.05
44,1934,1429.29
45,1923,1336.68
46,1923,1465.44
47,1933,1535.44
48,1933,1428.59
49,1933,1379.1
50,1933,1316.2
51,1933,1338.2
52,1936,1424.91
53,1930,1421.22
54,1925,1403.87
55,1930,1534.12
56,1934,1309.61
57,1934,1426.8
58,1934,1368.69
59,1934,1574.63
60,1934,1433.34
61,1934,1409.8
62,1934,1535.99
63,1934,1466.75
64,1934,1588.01
65,1934,1434.83
66,1934,1596.61
67,1934,1561.12
68,1934,1525.59
69,1934,1586.58
70,1934,1402.83
71,1934,1569.87
72,1934,1662.92
73,1934,1527.98
74,1934,1534.12
75,1934,1601.13
76,1934,1413.52
77,1934,1358.61
78,1934,1451.38
79,1934,1548.83
80,1934,1472.53
81,1934,1611.51
82,1934,1489.69
83,1934,1658.78
84,1934,1438.47
85,1934,1475.65
86,1934,1479.22
87,1934,1563.98
88,1934,1649.25
89,1934,1610.81
90,1934,1351.1
91,1934,1511.13
92,1934,1547.55
93,1934,1550.41
94,1934,1572.06
95,1934,1589.99
96,1934,1573.32
97,1934,1551.13
98,1934,1509.81
99,1934,1509.35
