Generation,Best,Mean
0,1295,113.39
1,1229,212.18
2,1499,384.75
3,1373,564.4
4,1321,730.63
5,1378,788.26
6,1390,794.45
7,1512,989.27
8,1526,1003.81
9,1542,1089.6
10,1636,1094.16
11,1733,1210.8
12,1739,1194.55
13,1703,1280.63
14,1729,1359.87
15,1842,1362.7
16,1842,1380.12
17,1842,1476.09
18,1842,1536.37
19,1842,1433.2
20,1842,1603.69
21,1842,1732.44
22,1842,1827.96
23,1842,1842.0
24,1842,1842.0
25,1842,1842.0
26,1842,1842.0
27,1842,1842.0
28,1842,1842.0
29,1842,1842.0
30,1842,1842.0
31,1842,1842.0
32,1842,1842.0
33,1842,1842.0
34,1842,1842.0
35,1842,1842.0
36,1842,1842.0
37,1842,1842.0
38,1842,1842.0
39,1842,1842.0
40,1842,1842.0
41,1842,1842.0
42,1842,1842.0
43,1842,1842.0
44,1842,1842.0
45,1842,1842.0
46,1842,1842.0
47,1842,1842.0
48,1842,1842.0
49,1842,1842.0
50,1842,1842.0
51,1842,1842.0
52,1842,1842.0
53,1842,1842.0
54,1842,1842.0
55,1842,1842.0
56,1842,1842.0
57,1842,1842.0
58,1842,1842.0
59,1842,1842.0
60,1842,1842.0
61,1842,1842.0
62,1842,1842.0
63,1842,1842.0
64,1842,1842.0
65,1842,1842.0
66,1842,1842.0
67,1842,1842.0
68,1842,1842.0
69,1842,1842.0
70,1842,1842.0
71,1842,1842.0
72,1842,1842.0
73,1842,1842.0
74,1842,1842.0
75,1842,1842.0
76,1842,1842.0
77,1842,1842.0
78,1842,1842.0
79,1842,1842.0
80,1842,1842.0
81,1842,1842.0
82,1842,1842.0
83,1842,1842.0
84,1842,1842.0
85,1842,1842.0
86,1842,1842.0
87,1842,1842.0
88,1842,1842.0
89,1842,1842.0
90,1842,1842.0
91,1842,1842.0
92,1842,1842.0
93,1842,1842.0
94,1842,1842.0
95,1842,1842.0
96,1842,1842.0
97,1842,1842.0
98,1842,1842.0
99,1842,1842.0
